0,1,2,3,4,5,6,7,8,9
0.108, 0.284, 0.212, 0.140, 0.404, 0.052, 0.232, 0.212, 0.208, 0.420
0.064, 0.156, 0.064, 0.240, 0.532, 0.636, 0.364, 0.200, 0.244, 0.296
0.048, 0.160, 0.112, 0.368, 0.304, 0.372, 0.452, 0.056, 0.248, 0.240
0.056, 0.164, 0.252, 0.432, 0.524, 0.620, 0.320, 0.060, 0.212, 0.272
0.136, 0.184, 0.232, 0.132, 0.192, 0.240, 0.744, 0.200, 0.392, 0.092
0.112, 0.176, 0.092, 0.144, 0.156, 0.272, 0.692, 0.232, 0.000, 0.484
0.088, 0.076, 0.248, 0.104, 0.216, 0.344, 0.108, 0.000, 0.200, 0.004
0.076, 0.068, 0.100, 0.652, 0.328, 0.812, 0.273, 0.000, 0.096, 0.100
0.080, 0.104, 0.272, 0.056, 0.396, 0.584, 0.048, 0.340, 0.188, 0.036
0.048, 0.064, 0.096, 0.020, 0.228, 0.212, 0.384, 0.288, 0.000, 0.540
0.052, 0.108, 0.124, 0.036, 0.200, 0.404, 0.336, 0.644, 0.132, 0.000
0.080, 0.172, 0.128, 0.252, 0.572, 0.660, 0.100, 0.060, 0.168, 0.212
0.084, 0.092, 0.084, 0.196, 0.436, 0.759, 0.464, 0.076, 0.028, 0.248
0.148, 0.172, 0.516, 0.048, 0.436, 0.684, 0.264, 0.000, 0.000, 0.304
0.164, 0.164, 0.280, 0.128, 0.468, 0.252, 0.548, 0.244, 0.076, 0.404
0.116, 0.097, 0.108, 0.272, 0.672, 0.304, 0.476, 0.152, 0.076, 0.000
0.072, 0.076, 0.072, 0.104, 0.044, 0.690, 0.400, 0.188, 0.000, 0.196
0.112, 0.088, 0.064, 0.164, 0.444, 0.328, 0.544, 0.252, 0.436, 0.000
0.096, 0.056, 0.052, 0.064, 0.632, 0.248, 0.840, 0.396, 0.000, 0.280
0.052, 0.076, 0.092, 0.128, 0.294, 0.476, 0.335, 0.000, 0.464, 0.000
